Year,Town Code,deathcity,2010 Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
2020,121,Salem,1635,0,3,34,0,37,2.26
2020,122,Salisbury,2593,24,2,2,14,42,1.62
2020,123,Scotland,680,0,1,31,0,32,4.71
2020,124,Seymour,6968,262,28,113,0,403,5.78
2020,125,Sharon,1775,32,1,3,0,36,2.03
2020,126,Shelton,16146,254,45,137,82,518,3.21
2020,127,Sherman,1831,0,1,7,0,8,0.44
2020,128,Simsbury,9123,289,60,98,0,447,4.9
2020,129,Somers,3479,146,9,35,0,190,5.46
2020,132,South Windsor,10243,443,55,232,9,739,7.21
2020,130,Southbury,9091,90,6,41,0,137,1.51
2020,131,Southington,17447,499,63,354,51,967,5.54
2020,133,Sprague,1248,20,13,27,1,61,4.89
2020,134,Stafford,5124,257,22,127,0,406,7.92
2020,135,Stamford,50573,4225,1971,450,1270,7916,15.65
2020,136,Sterling,1511,0,7,24,0,31,2.05
2020,137,Stonington,9467,441,16,97,0,554,5.85
2020,138,Stratford,21091,524,460,373,33,1390,6.59
2020,139,Suffield,5469,296,5,51,15,367,6.71
2020,140,Thomaston,3276,104,6,98,0,208,6.35
2020,141,Thompson,4171,151,13,48,0,212,5.08
2020,142,Tolland,5451,127,5,103,3,238,4.37
2020,143,Torrington,16761,908,322,547,17,1794,10.7
2020,144,Trumbull,13157,315,19,97,303,734,5.58
2020,145,Union,388,0,0,5,0,5,1.29
2020,146,Vernon,13896,1509,461,386,12,2368,17.04
2020,147,Voluntown,1127,20,1,24,0,45,3.99
2020,148,Wallingford,18945,354,129,328,35,846,4.47
2020,149,Warren,811,0,0,1,0,1,0.12
2020,150,Washington,2124,14,2,4,23,43,2.02
2020,151,Waterbury,47991,5344,3123,1751,21,10239,21.34
2020,152,Waterford,8634,123,30,266,0,419,4.85
2020,153,Watertown,9096,205,32,229,0,466,5.12
2020,155,West Hartford,26396,643,854,372,250,2119,8.03
2020,156,West Haven,22446,1024,1868,439,0,3331,14.84
2020,154,Westbrook,3937,140,5,30,29,204,5.18
2020,157,Weston,3674,0,2,6,0,8,0.22
2020,158,Westport,10399,265,60,4,58,387,3.72
2020,159,Wethersfield,11677,705,114,293,0,1112,9.52
2020,160,Willington,2637,160,5,37,0,202,7.66
2020,161,Wilton,6475,158,6,17,51,232,3.58
2020,162,Winchester,5613,350,167,92,0,609,10.85
2020,163,Windham,9570,1763,617,363,0,2743,28.66
2020,164,Windsor,11767,154,258,453,26,891,7.57
2020,165,Windsor Locks,5429,297,156,243,0,696,12.82
2020,166,Wolcott,6276,313,9,184,0,506,8.06
2020,167,Woodbridge,3478,30,8,6,0,44,1.27
2020,168,Woodbury,4564,60,3,28,0,91,1.99
2020,169,Woodstock,3582,24,0,32,0,56,1.56
