Year,Town Code,deathcity,2010 Census Units,Government Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
2020,155,WEST HARTFORD,26396,643,854,372,250,2119,8.03
2020,156,WEST HAVEN,22446,1024,1868,439,0,3331,14.84
2020,154,WESTBROOK,3937,140,5,30,29,204,5.18
2020,157,WESTON,3674,0,2,6,0,8,0.22
2020,158,WESTPORT,10399,265,60,4,58,387,3.72
2020,159,WETHERSFIELD,11677,705,114,293,0,1112,9.52
2020,160,WILLINGTON,2637,160,5,37,0,202,7.66
2020,161,WILTON,6475,158,6,17,51,232,3.58
2020,162,WINCHESTER,5613,350,167,92,0,609,10.85
2020,163,WINDHAM,9570,1763,617,363,0,2743,28.66
2020,164,WINDSOR,11767,154,258,453,26,891,7.57
2020,165,WINDSOR LOCKS,5429,297,156,243,0,696,12.82
2020,166,WOLCOTT,6276,313,9,184,0,506,8.06
2020,167,WOODBRIDGE,3478,30,8,6,0,44,1.27
2020,168,WOODBURY,4564,60,3,28,0,91,1.99
2020,169,WOODSTOCK,3582,24,0,32,0,56,1.56
